#--------------------------------------------------------------------------
# HWI Generation 8
#--------------------------------------------------------------------------
8_C0001,,3.56,M,"Ammonium bromide",pH 8,0.1,M,"Tris",pH 8
8_C0002,,3.56,M,"Ammonium bromide",pH 10,0.1,M,"CAPS",pH 10
8_C0003,,2.38,M,"Ammonium bromide",pH 4.2,0.1,M,"Sodium citrate tribasic dihydrate",pH 4.2
8_C0004,,2.38,M,"Ammonium bromide",pH 7.5,0.1,M,"HEPES",pH 7.5
8_C0005,,1.19,M,"Ammonium bromide",pH 5,0.1,M,"Sodium acetate trihydrate",pH 5
8_C0006,,1.19,M,"Ammonium bromide",pH 7,0.1,M,"Bis-Tris Propane",pH 7
8_C0007,,1.19,M,"Ammonium bromide",pH 9,0.1,M,"TAPS",pH 9
8_C0008,,3.74,M,"Ammonium chloride",pH 4.2,0.1,M,"Sodium citrate tribasic dihydrate",pH 4.2
8_C0009,,3.74,M,"Ammonium chloride",pH 7,0.1,M,"Bis-Tris Propane",pH 7
8_C0010,,3.74,M,"Ammonium chloride",pH 7.5,0.1,M,"HEPES",pH 7.5
8_C0011,,2.5,M,"Ammonium chloride",pH 5,0.1,M,"Sodium acetate trihydrate",pH 5
8_C0012,,2.5,M,"Ammonium chloride",pH 9,0.1,M,"TAPS",pH 9
8_C0013,,2.5,M,"Ammonium chloride",pH 10,0.1,M,"CAPS",pH 10
8_C0014,,1.25,M,"Ammonium chloride",pH 6,0.1,M,"MES monohydrate",pH 6
8_C0015,,1.25,M,"Ammonium chloride",pH 8,0.1,M,"Tris",pH 8
8_C0016,,6.46,M,"Ammonium nitrate",pH 4.2,0.1,M,"Sodium citrate tribasic dihydrate",pH 4.2
8_C0017,,6.46,M,"Ammonium nitrate",pH 9,0.1,M,"TAPS",pH 9
8_C0018,,6.46,M,"Ammonium nitrate",pH 10,0.1,M,"CAPS",pH 10
8_C0019,,3.23,M,"Ammonium nitrate",pH 6,0.1,M,"MES monohydrate",pH 6
8_C0020,,3.23,M,"Ammonium nitrate",pH 7,0.1,M,"Bis-Tris Propane",pH 7
8_C0021,,3.23,M,"Ammonium nitrate",pH 8,0.1,M,"Tris",pH 8
8_C0022,,0.96,M,"Ammonium phosphate monobasic",pH 8,0.1,M,"Tris",pH 8
8_C0023,,1.92,M,"Ammonium phosphate monobasic",pH 4.2,0.1,M,"Sodium citrate tribasic dihydrate",pH 4.2
